ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-02-05,2801.3506150212806,1146.0014319513207,4412.247254128666,2801.3506150212806,2801.3506150212806,18.333063927661925,18.333063927661925,18.333063927661925,18.333063927661925,18.333063927661925,18.333063927661925,0.0,0.0,0.0,2819.6836789489425
2022-02-06,2801.035178718873,1202.6754270360486,4457.903931761236,2801.035178718873,2801.035178718873,5.551561857799812,5.551561857799812,5.551561857799812,5.551561857799812,5.551561857799812,5.551561857799812,0.0,0.0,0.0,2806.5867405766726
2022-02-07,2800.7197424164656,1334.4965381303066,4587.16354748526,2800.7197424164656,2800.7197424164656,152.5541573715051,152.5541573715051,152.5541573715051,152.5541573715051,152.5541573715051,152.5541573715051,0.0,0.0,0.0,2953.2738997879705
2022-02-10,2799.7734335092437,1085.8394977900152,4356.218431532079,2799.7734335092437,2799.7734335092437,-31.862311837097412,-31.862311837097412,-31.862311837097412,-31.862311837097412,-31.862311837097412,-31.862311837097412,0.0,0.0,0.0,2767.9111216721462
2022-02-11,2799.4579972068364,958.7081868260785,4354.377678720249,2799.4579972068364,2799.4579972068364,-147.58504704120782,-147.58504704120782,-147.58504704120782,-147.58504704120782,-147.58504704120782,-147.58504704120782,0.0,0.0,0.0,2651.8729501656285
2022-02-12,2799.142560904429,1186.5886648875596,4418.89949284917,2799.142560904429,2799.142560904429,18.333063927432743,18.333063927432743,18.333063927432743,18.333063927432743,18.333063927432743,18.333063927432743,0.0,0.0,0.0,2817.4756248318618
2022-02-13,2798.8271246020217,1183.3060847700285,4507.958300721838,2798.8271246020217,2798.8271246020217,5.551561858002445,5.551561858002445,5.551561858002445,5.551561858002445,5.551561858002445,5.551561858002445,0.0,0.0,0.0,2804.3786864600243
2022-02-14,2798.5116882996144,1428.1497059268988,4625.999281658957,2798.5116882996144,2798.5116882996144,152.55415737142476,152.55415737142476,152.55415737142476,152.55415737142476,152.55415737142476,152.55415737142476,0.0,0.0,0.0,2951.0658456710394
2022-02-16,2797.8808156948,1213.661991308046,4642.791428721147,2797.8808156948,2797.8808156948,70.67056295088105,70.67056295088105,70.67056295088105,70.67056295088105,70.67056295088105,70.67056295088105,0.0,0.0,0.0,2868.551378645681
2022-02-17,2797.5653793923925,1000.1534314082245,4276.3039149843025,2797.5653793923925,2797.5653793923925,-31.86231183639784,-31.86231183639784,-31.86231183639784,-31.86231183639784,-31.86231183639784,-31.86231183639784,0.0,0.0,0.0,2765.7030675559945
